zip_code,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,incident_address,borough,community_board,police_precinct,city_council_district,bbl,created_date,status,resolution_action,closed_date,x_coordinate,y_coordinate,latitude,longitude,census_tract,bin,nta,location
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,41 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003100025,2018-01-25T00:00:00,Open,Site downloaded for cleaning,,987180,200208,40.716201,-73.989431,  16  ,1004039,Chinatown,"[None, '40.716201', '-73.989431', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,132 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004100007,2018-01-09T00:00:00,Open,Site downloaded for cleaning,,987204,201531,40.719860,-73.989329,  18  ,1005305,Chinatown,"[None, '40.71986', '-73.989329', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,103 STANTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004110018,2018-03-09T00:00:00,Open,Site to be cleaned.,,987608,202052,40.721262,-73.987886,  3001,1005351,Chinatown,"[None, '40.721262', '-73.987886', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,72 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003440173,2018-03-09T00:00:00,Open,Site to be cleaned.,,988416,201320,40.719253,-73.984971,  2201,1004125,Lower East Side,"[None, '40.719253', '-73.984971', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,110 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004100064,2018-01-11T00:00:00,Open,Site downloaded for cleaning,,987443,201099,40.718647,-73.988481,  18  ,1087565,Chinatown,"[None, '40.718647', '-73.988481', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,22 RUTGERS STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002730026,2018-01-09T00:00:00,Open,Site downloaded for cleaning,,986995,199113,40.713196,-73.990098,   6  ,1003258,Lower East Side,"[None, '40.713196', '-73.990098', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,80 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002760052,2018-01-09T00:00:00,Open,Site downloaded for cleaning,,985329,198728,40.712139,-73.996108,   8  ,1003322,Chinatown,"[None, '40.712139', '-73.996108', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,165 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002840028,2018-01-09T00:00:00,Open,Site downloaded for cleaning,,987026,199430,40.714066,-73.989986,   6  ,1003627,Lower East Side,"[None, '40.714066', '-73.989986', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,62 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004167502,2018-01-21T00:00:00,Open,Site downloaded for cleaning,,986967,201825,40.720640,-73.990198,  3601,1087123,Chinatown,"[None, '40.72064', '-73.990198', None, False]"
10002,35,19,0.54,16,0.46,0,0,35,100,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,100,2,0.06,33,0.94,0,0.0,0,0,35,100,2,0.06,33,0.94,0,0,35,100,30 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002987504,2018-01-09T00:00:00,Open,Site downloaded for cleaning,,986607,200004,40.715641,-73.991498,  16  ,1003845,Chinatown,"[None, '40.715641', '-73.991498', None, False]"
